Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,31390.0,2012,8,4.0,2012,8,9.0,30.0,21.0,1200.0,1200.0,150290.0,73.19159160611325
Hydrological,Mass movement (wet),Landslide (wet),PAK,Pakistan,Southern Asia,0.0,2012,11,30.0,2012,11,30.0,18.0,13.0,1275.5,300.0,20565.5,73.19159160611325
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,0.0,2012,10,5.0,2012,10,5.0,19.0,13.0,1275.5,300.0,20565.5,73.19159160611325
Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,49084.0,2012,12,17.0,2012,12,19.0,53.0,21.0,447000.0,447021.0,1640.0,73.19159160611325
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,29905.0,2012,12,24.0,2012,12,25.0,3.0,21.0,10500.0,10500.0,107022.0,73.19159160611325
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2012,9,7.0,2012,9,13.0,21.0,21.0,25450.0,20000.0,683139.0,73.19159160611325
Meteorological,Extreme temperature,Severe winter conditions,CHN,China,Eastern Asia,35.0,2012,2,7.0,2012,2,9.0,50.0,650.0,50000.0,50650.0,27599.0,73.19159160611325
Meteorological,Storm,Tornado,IDN,Indonesia,South-eastern Asia,144.0,2012,2,25.0,2012,2,25.0,5.0,52.0,40000.0,490.0,97437.0,73.19159160611325
Hydrological,Mass movement (wet),Avalanche (wet),AFG,Afghanistan,Southern Asia,0.0,2012,3,12.0,2012,3,12.0,45.0,13.0,1275.5,300.0,20565.5,73.19159160611325
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2012,7,27.0,2012,7,2.0,70.0,21.0,500000.0,500000.0,1093022.0,73.19159160611325
Meteorological,Storm,Tropical cyclone,KOR,Republic of Korea,Eastern Asia,144.0,2012,9,15.0,2012,9,17.0,12.0,52.0,3120.0,3120.0,476831.0,73.19159160611325
