Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Meteorological,Storm,Severe weather,NPL,Nepal,Southern Asia,144.0,2022,6,,2022,6,20.0,21.0,29.0,515.0,544.0,97437.0,93.29460735164001
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,5.3,2000,2,2.0,2000,2,2.0,1.0,15.0,1500.0,2015.0,104477.5,54.89515197353657
Biological,Epidemic,Viral disease,AFG,Afghanistan,Southern Asia,189000.0,2000,1,,2000,1,,507.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,4.9,2000,2,14.0,2000,2,14.0,7.0,89.0,1000.0,1000.0,104477.5,54.89515197353657
Biological,Epidemic,Viral disease,IDN,Indonesia,South-eastern Asia,189000.0,2000,1,,2000,1,,10.0,2610.0,1516.0,1516.0,100642.5,54.89515197353657
Hydrological,Flood,Flood (General),PAK,Pakistan,Southern Asia,29905.0,2022,6,14.0,2022,6,14.0,1739.0,12865.0,33000000.0,33012865.0,16078100.0,93.29460735164001
Biological,Epidemic,Infectious disease (General),PAK,Pakistan,Southern Asia,189000.0,2000,3,,2000,3,,95.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Meteorological,Extreme temperature,Heat wave,KOR,Republic of Korea,Eastern Asia,35.0,2022,7,1.0,2022,7,2.0,2.0,355.0,75000.0,355.0,90654.0,93.29460735164001
Biological,Epidemic,Infectious disease (General),MYS,Malaysia,South-eastern Asia,189000.0,2000,1,,2000,1,,2.0,2610.0,480.0,480.0,100642.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),BGD,Bangladesh,Southern Asia,189000.0,2000,3,,2000,3,,31.0,2610.0,3352.0,3352.0,100642.5,54.89515197353657
Biological,Epidemic,Bacterial disease,NPL,Nepal,Southern Asia,189000.0,2022,6,16.0,2022,6,30.0,31.0,2610.0,30000.0,30000.0,100642.5,93.29460735164001
Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,29905.0,2022,8,14.0,2022,8,16.0,19.0,21.0,63100.0,63100.0,107022.0,93.29460735164001
Biological,Epidemic,Bacterial disease,SAU,Saudi Arabia,Western Asia,189000.0,2000,3,,2000,3,27.0,57.0,2610.0,168.0,168.0,100642.5,54.89515197353657
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,4.5,2000,5,7.0,2000,5,7.0,1.0,89.0,1000.0,1000.0,104477.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),IRN,Iran (Islamic Republic of),Southern Asia,189000.0,2000,5,2.0,2000,5,2.0,76.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,6.0,2000,6,6.0,2000,6,6.0,2.0,80.0,23000.0,23080.0,104477.5,54.89515197353657
Biological,Epidemic,Viral disease,AFG,Afghanistan,Southern Asia,189000.0,2000,5,,2000,5,11.0,16.0,2610.0,11.0,11.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,IND,India,Southern Asia,189000.0,2000,5,,2000,5,,84.0,2610.0,1055.0,1055.0,100642.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),PAK,Pakistan,Southern Asia,189000.0,2000,6,,2000,6,,4.0,2610.0,246.0,246.0,100642.5,54.89515197353657
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,189000.0,2000,5,,2000,5,,31.0,2610.0,192.0,192.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,IDN,Indonesia,South-eastern Asia,189000.0,2000,5,,2000,5,,15.0,2610.0,203.0,203.0,100642.5,54.89515197353657
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,12555.0,2010,9,5.0,2010,9,17.0,19.0,21.0,30000.0,30000.0,107022.0,69.51329329264284
Meteorological,Storm,Storm surge,KHM,Cambodia,South-eastern Asia,144.0,2022,9,28.0,2022,9,29.0,16.0,52.0,40000.0,14400.0,97437.0,93.29460735164001
Biological,Epidemic,Viral disease,KAZ,Kazakhstan,Central Asia,189000.0,2000,1,,2000,1,,31.0,2610.0,114.0,114.0,100642.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),LAO,Lao People's Democratic Republic,South-eastern Asia,189000.0,2000,6,,2000,6,,44.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,185.0,2000,7,5.0,2000,7,5.0,11.0,52.0,40000.0,120000.0,13662.0,54.89515197353657
Hydrological,Mass movement (wet),Sudden Subsidence (wet),PHL,Philippines,South-eastern Asia,0.0,2000,7,10.0,2000,7,10.0,287.0,38.0,2800.0,2838.0,20565.5,54.89515197353657
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,6.1,2000,7,1.0,2000,7,1.0,1.0,89.0,100.0,100.0,104477.5,54.89515197353657
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,76600.0,2006,5,30.0,2006,5,9.0,57.0,21.0,356000.0,356000.0,611532.0,64.26483221973469
Meteorological,Extreme temperature,Heat wave,JPN,Japan,Eastern Asia,41.0,2024,4,1.0,2024,4,30.0,123.0,37000.0,75000.0,37000.0,90654.0,100.0
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,189000.0,2000,7,,2000,7,,27.0,2610.0,79.0,79.0,100642.5,54.89515197353657
Biological,Epidemic,Bacterial disease,THA,Thailand,South-eastern Asia,189000.0,2000,1,,2000,1,,89.0,2610.0,1946.0,1946.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,BGD,Bangladesh,Southern Asia,189000.0,2000,7,,2000,7,,21.0,2610.0,522.0,522.0,100642.5,54.89515197353657
Geophysical,Volcanic activity,Ash fall,JPN,Japan,Eastern Asia,0.0,2000,8,10.0,2000,8,10.0,10.0,46.5,4000.0,4000.0,23153.0,54.89515197353657
Biological,Epidemic,Bacterial disease,AFG,Afghanistan,Southern Asia,189000.0,2000,8,,2000,8,13.0,19.0,2610.0,1604.0,1604.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,NPL,Nepal,Southern Asia,189000.0,2000,7,,2000,7,,69.0,2610.0,592.0,592.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,IND,India,Southern Asia,189000.0,2000,8,,2000,8,,34.0,2610.0,116.0,116.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,SAU,Saudi Arabia,Western Asia,189000.0,2000,9,11.0,2000,9,17.0,76.0,2610.0,329.0,329.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,ISR,Israel,Western Asia,189000.0,2000,8,,2000,8,19.0,12.0,2610.0,139.0,139.0,100642.5,54.89515197353657
Hydrological,Flood,Coastal flood,PHL,Philippines,South-eastern Asia,29905.0,2000,9,4.0,2000,9,5.0,5.0,21.0,6508.0,6508.0,107022.0,54.89515197353657
Biological,Epidemic,Viral disease,YEM,Yemen,Western Asia,189000.0,2000,9,10.0,2000,9,9.0,32.0,2610.0,289.0,289.0,100642.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),AFG,Afghanistan,Southern Asia,189000.0,2000,9,,2000,9,,15.0,2610.0,613.0,613.0,100642.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),BGD,Bangladesh,Southern Asia,189000.0,2000,10,,2000,10,,10.0,2610.0,22340.0,22340.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,SGP,Singapore,South-eastern Asia,189000.0,2000,9,,2000,9,,2.0,2610.0,2022.0,2022.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,PAK,Pakistan,Southern Asia,189000.0,2000,9,,2000,9,,10.0,2610.0,12.0,12.0,100642.5,54.89515197353657
Hydrological,Mass movement (wet),Landslide (wet),VNM,Viet Nam,South-eastern Asia,0.0,2000,10,3.0,2000,10,3.0,40.0,17.0,1275.5,17.0,20565.5,54.89515197353657
Biological,Epidemic,Viral disease,MYS,Malaysia,South-eastern Asia,189000.0,2000,10,,2000,10,,2.0,2610.0,508.0,508.0,100642.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),IND,India,Southern Asia,189000.0,2000,10,,2000,10,,51.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,IND,India,Southern Asia,189000.0,2000,10,12.0,2000,10,12.0,14.0,2610.0,64.0,64.0,100642.5,54.89515197353657
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,4.5,2006,10,27.0,2006,10,27.0,7.0,89.0,20000.0,20000.0,104477.5,64.26483221973469
Biological,Epidemic,Viral disease,LKA,Sri Lanka,Southern Asia,189000.0,2000,9,25.0,2000,9,25.0,2.0,2610.0,113.0,113.0,100642.5,54.89515197353657
Geophysical,Earthquake,Ground movement,TJK,Tajikistan,Central Asia,4.8,2000,10,30.0,2000,10,30.0,7.0,89.0,6000.0,6000.0,104477.5,54.89515197353657
Geophysical,Earthquake,Ground movement,AZE,Azerbaijan,Western Asia,6.8,2000,11,25.0,2000,11,25.0,31.0,600.0,2694.0,3294.0,18217.0,54.89515197353657
Biological,Epidemic,Infectious disease (General),PHL,Philippines,South-eastern Asia,189000.0,2000,11,18.0,2000,11,18.0,1.0,2610.0,664.0,664.0,100642.5,54.89515197353657
Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,29905.0,2023,12,22.0,2023,12,25.0,6.0,21.0,241473.0,241473.0,107022.0,97.13499263687517
Biological,Epidemic,Viral disease,IND,India,Southern Asia,189000.0,2000,10,26.0,2000,10,26.0,13.0,2610.0,287.0,287.0,100642.5,54.89515197353657
Hydrological,Flood,Flood (General),IND,India,Southern Asia,29905.0,2023,12,18.0,2023,12,20.0,10.0,21.0,25450.0,20000.0,107022.0,97.13499263687517
Hydrological,Flood,Flood (General),PHL,Philippines,South-eastern Asia,29905.0,2022,12,25.0,2022,12,29.0,70.0,16.0,600000.0,600016.0,11791.0,93.29460735164001
Biological,Epidemic,Infectious disease (General),LAO,Lao People's Democratic Republic,South-eastern Asia,189000.0,2000,1,,2000,1,,31.0,2610.0,9685.0,9685.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,NPL,Nepal,Southern Asia,189000.0,2000,5,,2000,5,,250.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,IND,India,Southern Asia,189000.0,2000,8,31.0,2000,8,31.0,19.0,2610.0,58.0,58.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,KOR,Republic of Korea,Eastern Asia,189000.0,2000,3,,2001,3,,6.0,2610.0,39531.0,39531.0,100642.5,54.89515197353657
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,29905.0,2022,12,25.0,2022,12,26.0,1.0,21.0,2990.0,3210.0,107022.0,93.29460735164001
Hydrological,Flood,Flood (General),MYS,Malaysia,South-eastern Asia,29905.0,2023,12,22.0,2023,12,25.0,2.0,21.0,25676.0,25676.0,107022.0,97.13499263687517
Meteorological,Extreme temperature,Cold wave,IND,India,Southern Asia,4.2,2018,1,1.0,2018,1,7.0,44.0,472.0,75000.0,5100.0,90654.0,80.04959625595113
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,315.0,2020,10,31.0,2020,10,1.0,31.0,399.0,3355995.0,3356394.0,610011.0,82.50568384880243
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,29905.0,2022,12,26.0,2023,12,1.0,19.0,21.0,545.0,196745.0,107022.0,93.29460735164001
Biological,Epidemic,Viral disease,NPL,Nepal,Southern Asia,189000.0,2001,1,,2001,1,,13.0,2610.0,886.0,1027.5,100642.5,56.44657635473563
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,7.7,2001,1,26.0,2001,1,26.0,12.0,100.0,914192.0,914292.0,886.0,56.44657635473563
Hydrological,Mass movement (wet),Landslide (wet),IDN,Indonesia,South-eastern Asia,0.0,2001,1,22.0,2001,1,22.0,63.0,13.0,1275.5,300.0,20565.5,56.44657635473563
Biological,Epidemic,Infectious disease (General),IND,India,Southern Asia,189000.0,2001,2,1.0,2001,2,1.0,28.0,2610.0,42.0,42.0,100642.5,56.44657635473563
Biological,Epidemic,Bacterial disease,SAU,Saudi Arabia,Western Asia,189000.0,2001,2,9.0,2001,2,22.0,35.0,2610.0,74.0,74.0,100642.5,56.44657635473563
Geophysical,Volcanic activity,Lava flow,IDN,Indonesia,South-eastern Asia,0.0,2020,12,1.0,2020,12,1.0,10.0,46.5,550.0,550.0,23153.0,82.50568384880243
Meteorological,Storm,Tornado,PAK,Pakistan,Southern Asia,144.0,2001,3,28.0,2001,3,28.0,4.0,52.0,40000.0,500.0,97437.0,56.44657635473563
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,29905.0,2024,12,3.0,2024,12,10.0,12.0,21.0,10160.0,10160.0,107022.0,100.0
Biological,Epidemic,Infectious disease (General),NPL,Nepal,Southern Asia,189000.0,2001,6,,2001,6,,13.0,2610.0,242.0,242.0,100642.5,56.44657635473563
Climatological,Other,Glacial lake outburst flood,IND,India,Southern Asia,0.0,2021,4,23.0,2021,4,23.0,16.0,24.0,44267.5,24.0,126939.5,86.38165694109576
Hydrological,Mass movement (wet),Landslide (wet),PAK,Pakistan,Southern Asia,0.0,2001,7,10.0,2001,7,10.0,15.0,13.0,1275.5,300.0,20565.5,56.44657635473563
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,189000.0,2001,6,18.0,2001,6,18.0,16.0,2610.0,83.0,83.0,100642.5,56.44657635473563
Biological,Epidemic,Bacterial disease,AFG,Afghanistan,Southern Asia,189000.0,2001,6,1.0,2001,6,25.0,114.0,2610.0,4385.0,4385.0,100642.5,56.44657635473563
Biological,Other,Locust infestation,CHN,China,Eastern Asia,0.0,2001,6,,2001,6,,16.5,9.0,44267.5,79.5,126939.5,56.44657635473563
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,5.5,2001,6,25.0,2001,6,25.0,7.0,130.0,350.0,480.0,104477.5,56.44657635473563
Hydrological,Flood,Riverine flood,IRN,Iran (Islamic Republic of),Southern Asia,7440.0,2001,7,20.0,2001,7,21.0,32.0,34.0,1000.0,1034.0,44290.0,56.44657635473563
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,189000.0,2001,7,7.0,2001,7,,33.0,2610.0,34078.0,34078.0,100642.5,56.44657635473563
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,0.0,2001,8,1.0,2001,8,1.0,34.0,8.0,1275.5,308.0,20565.5,56.44657635473563
Biological,Epidemic,Parasitic disease,IND,India,Southern Asia,189000.0,2001,8,,2001,8,,12.0,2610.0,24686.0,24686.0,100642.5,56.44657635473563
Meteorological,Storm,Blizzard/Winter storm,JPN,Japan,Eastern Asia,144.0,2022,12,17.0,2022,12,26.0,19.0,130.0,40000.0,130.0,97437.0,93.29460735164001
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,29905.0,2022,11,7.0,2022,11,14.0,3.0,21.0,7000.0,7000.0,107022.0,93.29460735164001
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,0.0,2022,12,4.0,2022,12,5.0,10.0,46.5,2489.0,2489.0,23153.0,93.29460735164001
Meteorological,Extreme temperature,Cold wave,MNG,Mongolia,Eastern Asia,-34.0,2022,11,28.0,2022,11,,50.0,472.0,29662.0,29662.0,90654.0,93.29460735164001
Hydrological,Mass movement (wet),Landslide (wet),MYS,Malaysia,South-eastern Asia,0.0,2022,12,16.0,2022,12,16.0,33.0,13.0,94.0,94.0,20565.5,93.29460735164001
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,0.0,2001,9,28.0,2001,9,28.0,14.0,18.0,10000.0,10018.0,20565.5,56.44657635473563
Hydrological,Mass movement (wet),Landslide (wet),TUR,Türkiye,Western Asia,0.0,2001,11,10.0,2001,11,10.0,9.0,13.0,600.0,600.0,20565.5,56.44657635473563
Hydrological,Flood,Flood (General),MYS,Malaysia,South-eastern Asia,29905.0,2001,10,30.0,2001,10,30.0,19.0,21.0,200.0,200.0,107022.0,56.44657635473563
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,29905.0,2022,11,25.0,2022,11,27.0,1.0,21.0,12500.0,12500.0,107022.0,93.29460735164001
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,4.9,2017,12,20.0,2017,12,20.0,2.0,120.0,12426.0,120.0,104477.5,78.14100176276759
Meteorological,Extreme temperature,Cold wave,TUR,Türkiye,Western Asia,35.0,2001,12,17.0,2001,12,17.0,29.0,472.0,75000.0,5100.0,90654.0,56.44657635473563
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,6.0,2018,8,26.0,2018,8,26.0,2.0,255.0,10000.0,13255.0,104477.5,80.04959625595113
Geophysical,Earthquake,Tsunami,IDN,Indonesia,South-eastern Asia,9.1,2011,3,11.0,2011,3,11.0,1.0,89.0,12426.0,95.0,104477.5,71.7077236119433
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,6.6,2016,4,10.0,2016,4,10.0,6.0,42.0,100.0,142.0,104477.5,76.51121620386147
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2001,12,17.0,2001,12,18.0,19.0,21.0,4000.0,4000.0,107022.0,56.44657635473563
Hydrological,Mass movement (wet),Landslide (wet),TJK,Tajikistan,Central Asia,0.0,2001,5,20.0,2001,5,20.0,1.0,15.0,1275.5,165.0,1063.0,56.44657635473563
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,5.6,2017,5,13.0,2017,5,13.0,3.0,417.0,12426.0,2262.0,2559.0,78.14100176276759
Biological,Epidemic,Parasitic disease,PAK,Pakistan,Southern Asia,189000.0,2001,11,1.0,2002,11,12.0,31.0,2610.0,5000.0,5000.0,100642.5,56.44657635473563
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,144.0,2020,11,25.0,2020,11,26.0,14.0,52.0,40000.0,14400.0,727223.0,82.50568384880243
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,7.3,2017,11,12.0,2017,11,12.0,444.0,9000.0,200000.0,209000.0,947006.0,78.14100176276759
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,6.4,2017,11,18.0,2017,11,18.0,7.0,3.0,23400.0,23403.0,104477.5,78.14100176276759
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,6.4,2018,2,6.0,2018,2,6.0,84.0,285.0,12426.0,285.0,124923.0,80.04959625595113
Hydrological,Flood,Riverine flood,MMR,Myanmar,South-eastern Asia,29905.0,2001,6,2.0,2001,6,2.0,51.0,21.0,25450.0,3750.0,107022.0,56.44657635473563
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,4.9,2001,10,8.0,2001,10,8.0,7.0,89.0,1000.0,1000.0,104477.5,56.44657635473563
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,6.4,2018,7,29.0,2018,7,29.0,14.0,135.0,102717.0,102852.0,36228.0,80.04959625595113
Meteorological,Storm,Storm (General),TJK,Tajikistan,Central Asia,144.0,2001,6,16.0,2001,6,16.0,12.0,52.0,830.0,830.0,415.0,56.44657635473563
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,6.9,2018,8,19.0,2018,8,19.0,10.0,24.0,755.0,779.0,6246.0,80.04959625595113
Hydrological,Mass movement (wet),Mudslide,PAK,Pakistan,Southern Asia,0.0,2001,7,,2001,7,,16.0,12.0,1275.5,12.0,20565.5,56.44657635473563
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,6.1,2019,4,22.0,2019,4,22.0,25.0,282.0,15273.0,15555.0,61349.0,81.50030940991486
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,6.4,2019,6,18.0,2019,6,18.0,7.0,28.0,432.0,460.0,104477.5,81.50030940991486
Biological,Epidemic,Infectious disease (General),AFG,Afghanistan,Southern Asia,189000.0,2001,12,1.0,2001,12,1.0,40.0,2610.0,40.0,40.0,100642.5,56.44657635473563
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,5.8,2020,2,23.0,2020,2,23.0,7.0,75.0,15000.0,15075.0,104477.5,82.50568384880243
Geophysical,Earthquake,Tsunami,MMR,Myanmar,South-eastern Asia,9.1,2004,12,26.0,2004,12,26.0,71.0,89.0,12500.0,15700.0,830377.0,60.21357973293278
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,6.2,2014,8,3.0,2014,8,3.0,731.0,3413.0,1117100.0,1120513.0,6625285.0,75.46845567806861
Geophysical,Earthquake,Ground movement,BGD,Bangladesh,Southern Asia,6.7,2016,1,3.0,2016,1,3.0,5.0,70.0,12426.0,70.0,104477.5,76.51121620386147
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,7.0,2016,4,15.0,2016,4,15.0,49.0,1684.0,272763.0,298432.0,26139958.0,76.51121620386147
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,5.9,2019,11,8.0,2019,11,8.0,6.0,584.0,22500.0,23084.0,110429.0,81.50030940991486
Geophysical,Earthquake,Ground movement,MMR,Myanmar,South-eastern Asia,6.8,2016,8,24.0,2016,8,24.0,4.0,2.0,1150.0,1152.0,13070.0,76.51121620386147
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,6.6,2016,11,25.0,2016,11,25.0,1.0,89.0,37200.0,37200.0,7188.0,76.51121620386147
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,6.2,2016,10,21.0,2016,10,21.0,7.0,7.0,480.0,493.0,130700.0,76.51121620386147
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,6.7,2017,7,21.0,2017,7,21.0,7.0,360.0,12426.0,360.0,104477.5,78.14100176276759
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,6.5,2017,8,8.0,2017,8,8.0,29.0,525.0,217500.0,218325.0,639869.0,78.14100176276759
Geophysical,Earthquake,Ground movement,KOR,Republic of Korea,Eastern Asia,5.4,2017,11,15.0,2017,11,15.0,7.0,57.0,5000.0,5057.0,104477.5,78.14100176276759
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,6.9,2018,8,5.0,2018,8,5.0,564.0,1584.0,445343.0,516927.0,986888.0,80.04959625595113
Geophysical,Earthquake,Ground movement,TJK,Tajikistan,Central Asia,5.3,2002,1,9.0,2002,1,9.0,3.0,50.0,1000.0,1050.0,104477.5,57.34184015407783
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,7.2,2019,7,14.0,2019,7,14.0,8.0,134.0,5790.0,11804.0,104477.5,81.50030940991486
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,6.5,2019,9,26.0,2019,9,26.0,31.0,179.0,247239.0,247418.0,104477.5,81.50030940991486
Biological,Epidemic,Bacterial disease,IDN,Indonesia,South-eastern Asia,189000.0,2002,1,10.0,2002,1,10.0,17.0,2610.0,757.0,757.0,100642.5,57.34184015407783
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,5.7,2019,9,26.0,2019,9,26.0,1.0,34.0,1419.0,1453.0,104477.5,81.50030940991486
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,6.4,2019,10,16.0,2019,10,16.0,7.0,215.0,3068.0,3283.0,104477.5,81.50030940991486
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,6.8,2019,12,15.0,2019,12,15.0,14.0,210.0,394355.0,394565.0,104477.5,81.50030940991486
Geophysical,Earthquake,Tsunami,BGD,Bangladesh,Southern Asia,9.1,2004,12,26.0,2004,12,26.0,2.0,89.0,12426.0,7887.5,830377.0,60.21357973293278
Geophysical,Earthquake,Tsunami,LKA,Sri Lanka,Southern Asia,9.1,2004,12,26.0,2004,12,26.0,35399.0,23176.0,516130.0,1019306.0,2186384.0,60.21357973293278
Geophysical,Earthquake,Tsunami,MDV,Maldives,Southern Asia,9.1,2004,12,26.0,2004,12,26.0,102.0,2214.0,12000.0,27214.0,780721.0,60.21357973293278
Geophysical,Earthquake,Tsunami,MYS,Malaysia,South-eastern Asia,9.1,2004,12,26.0,2004,12,26.0,80.0,767.0,12426.0,5063.0,830377.0,60.21357973293278
Geophysical,Earthquake,Tsunami,THA,Thailand,South-eastern Asia,9.1,2004,12,26.0,2004,12,26.0,8345.0,8457.0,58550.0,67007.0,1660755.0,60.21357973293278
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,6.7,2017,2,10.0,2017,2,10.0,8.0,202.0,16655.0,16857.0,17883.0,78.14100176276759
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,6.5,2002,2,3.0,2002,2,3.0,42.0,327.0,222000.0,252327.0,165673.0,57.34184015407783
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,8.4,2007,9,12.0,2007,9,12.0,25.0,82.0,422685.0,459567.0,756451.0,66.09810296587726
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,8.6,2012,4,11.0,2012,4,11.0,7.0,107.0,12426.0,107.0,104477.5,73.19159160611325
Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,6.7,2016,1,3.0,2016,1,3.0,8.0,308.0,10500.0,10808.0,98025.0,76.51121620386147
Hydrological,Mass movement (wet),Avalanche (wet),AFG,Afghanistan,Southern Asia,0.0,2002,2,6.0,2002,2,6.0,5.0,13.0,400.0,400.0,20565.5,57.34184015407783
Geophysical,Earthquake,Ground movement,KOR,Republic of Korea,Eastern Asia,5.4,2016,9,12.0,2016,9,12.0,7.0,32.0,29800.0,29832.0,27447.0,76.51121620386147
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,5.4,2002,2,17.0,2002,2,17.0,1.0,30.0,750.0,780.0,104477.5,57.34184015407783
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,5.8,2019,6,17.0,2019,6,17.0,13.0,220.0,244000.0,244220.0,1595086.0,81.50030940991486
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,5.9,2017,4,8.0,2017,4,8.0,7.0,89.0,25000.0,25000.0,2559.0,78.14100176276759
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,6.3,2002,3,3.0,2002,3,3.0,3.0,89.0,12426.0,7887.5,104477.5,57.34184015407783
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,6.5,2017,7,6.0,2017,7,6.0,3.0,448.0,16052.0,16500.0,5585.0,78.14100176276759
Geophysical,Earthquake,Tsunami,IND,India,Southern Asia,9.1,2004,12,26.0,2004,12,26.0,16389.0,6913.0,647599.0,654512.0,1698620.0,60.21357973293278
Biological,Epidemic,Viral disease,AFG,Afghanistan,Southern Asia,189000.0,2002,3,,2002,3,,60.0,2610.0,886.0,1027.5,100642.5,57.34184015407783
Biological,Epidemic,Viral disease,IND,India,Southern Asia,189000.0,2002,3,12.0,2002,3,12.0,31.0,2610.0,200.0,200.0,100642.5,57.34184015407783
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,6.5,2017,12,15.0,2017,12,15.0,4.0,36.0,8859.0,8895.0,104477.5,78.14100176276759
